,mean,std
Lbay,295.8888921,56.50908715
Hstory,158.2187843,22.4827073
Mbuilding,4.137270548,0.410737482
Fy,59.00227389,7.277392483
ϴp_Beam1,0.025717833,0.005253951
ϴp_Beam2,0.033334102,0.005721594
Es,34345.41262,4564.562609
ϴpc_Col_In1,0.222745031,0.057625497
ϴp_Col_Ex2,0.025361535,0.015186982
ϴp_Col_In1,0.050616619,0.026894236
